Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
11931,2592,132615,1304,38084,170850,79491,821,149404,149392,970,61,310,32,294,15185,102770,4,2,7,1
8976,1862,87016,632,34290,133076,71426,876,157261,157283,1303,607,2809,664,2974,12433,88121,10,3,6,1
8621,1659,82341,518,34963,133111,72749,977,149554,149549,809,2226,11196,2257,11427,12656,93330,4,6,5,1
16587,3476,184383,1559,30187,132332,62781,753,152077,152078,689,3812,24715,3879,24564,12348,89639,8,9,11,1
9615,2131,128982,1028,33362,275394,71928,848,150746,150832,673,5284,30456,5185,30192,11872,82350,17,2,5,1
8762,1657,118745,635,106152,956133,258573,433,141514,141140,767,304,2677,295,3121,13156,92961,4,5,6,1
9563,1751,123794,617,43806,397571,92247,1914,144946,144823,11886,527,2847,526,2401,12791,90819,4,3,4,1
8649,1571,81315,493,45399,338879,95345,1748,142441,143291,15960,264,1854,265,1850,12228,92260,3,2,4,1
10182,1968,111589,649,143065,980679,454109,1652,123400,122828,11176,212,2322,211,2323,13437,97069,4,6,4,1
9206,1766,88857,621,122899,883541,277286,356,111750,111773,1279,572,4447,571,4445,12576,92825,3,7,7,1
8830,1489,80676,493,230562,1090639,1103653,44,118227,118172,43,209,2442,210,2502,12314,90204,2,242,248,1
8255,2173,128701,1052,157760,772149,818699,58,116861,116834,377,241,2647,240,2572,7967,109989,11,1970,1816,1
38414,3190,361385,2226,154372,733779,789609,38,117280,117276,257,800,5966,837,6253,2314,43876,69,68,65,1
56678,7487,510136,2930,153400,732128,795574,929,109795,109982,2795,3608,25379,3636,25716,1802,44242,59,9,8,1
267433,46819,1656920,5143,156402,733415,788327,2302,150622,154080,3464,4015,31807,4022,31568,3673,68964,32,6,3,1
40209,8946,507514,5480,149259,732232,786408,3497,164217,161211,12361,3534,18747,3464,18379,3151,133672,0,5,3,1
75436,14368,443811,945,150173,731691,800000,6202,817797,818628,15552,23,138,21,111,3220,129895,1,1,2,1
73811,14675,408800,491,154239,783723,788497,655,186838,186334,1416,182,1061,182,1076,3208,133510,0,6,1,1
65923,12764,373591,673,151186,743300,806665,520,159320,158980,702,25,147,25,134,3303,141133,0,2,1,1
66420,13002,373280,642,150005,734745,804592,682,148783,148804,1022,20,102,20,100,1713,36415,3,0,0,1
68192,12513,372992,639,151137,731765,814787,556,150574,150521,549,1055,4765,1058,4835,914,5957,6,0,1,1
58349,11621,371184,1196,138343,732582,706477,672,151755,151781,693,2216,10144,2249,10421,8413,54900,314,0,0,1
67935,12924,376018,856,140592,741036,314991,853,148330,148383,1273,3653,25626,3740,25522,2487,14635,41,6,5,1
66145,11585,375147,1122,144366,759271,262441,861,150496,150468,1012,5069,29299,4961,29006,2375,16349,20,3,1,1
83522,11391,372834,456,111795,750580,352225,510,146808,146551,999,584,2834,567,2780,7995,86552,141,2,0,1
45057,7863,395357,26,879582,1914300,1582870,3064,58798,65093,9773,4580,17826,4761,18498,3249,44424,55,440,522,1
92035,15061,830047,350,331248,721451,601925,5238,127801,123383,16248,6357,29725,6276,29274,5394,61408,80,14,3,1
58684,9626,478826,22,1880626,3861501,3291878,2668,72218,71678,8429,3430,14500,3433,14345,948,5771,6,199,185,1
53591,8904,471345,126,330099,708969,599121,347,17377,18567,2342,2821,12372,2858,12582,5038,35331,177,17,5,1
52892,8584,492241,250,1872835,3949240,3289636,6194,141474,140653,21457,5569,27486,11182,52564,3173,65888,10,215,207,1
48616,8010,398892,24,340344,719066,617570,365,18473,19666,2266,2230,10371,2253,10607,1083,6462,5,22,4,1
