Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
7224,1468,146704,1147,70123,711752,162610,1125,43130,43128,3810,511,4115,516,3962,4249,131457,3,0,0,1
3904,449,66939,72,85681,689097,261700,1900,125124,129120,3076,6,224,2,209,3058,65093,13,2,5,1
2980,338,25892,45,147012,709911,360520,2780,158313,154642,8986,270,743,276,748,7172,138132,17,160,130,1
5552,584,80060,92,193367,1256369,744494,1093,180582,180198,3654,9,693,18,839,4059,120184,2,72,61,1
2852,278,23325,28,120944,863225,686012,469,28415,28279,2044,220,2293,213,2074,2920,63054,12,2,0,1
3723,452,45051,69,16657,89993,38018,2021,48221,48221,6734,795,2766,804,2795,7163,129756,12,13,3,1
5362,543,77607,80,18081,125037,42659,2119,94963,95131,5719,141,1069,141,1156,3945,130999,0,16,13,1
2718,272,22900,27,26203,140378,60769,354,17816,19006,2292,27,1539,30,1364,3216,64272,15,0,0,1
2981,370,27016,51,148045,712262,357533,1739,53058,52236,7118,286,673,283,673,7053,131193,15,0,0,1
5283,537,77746,78,149251,966475,466625,1192,43773,43773,4293,152,1222,150,1353,4393,127596,0,4,7,1
4762,619,68454,430,151650,709832,366535,79,17027,17991,1279,31,1663,33,1465,2895,62343,17,36,31,1
3661,438,43463,100,325055,2284762,1464978,3669,82556,81949,12253,775,2608,781,2636,7102,124697,16,2,6,1
4540,486,73005,70,18652,157720,39988,2936,112355,113555,7965,10,892,9,823,3985,136152,0,0,4,1
3832,327,34351,39,49796,391166,107038,48,16533,16770,877,305,2547,312,2348,3171,64093,11,4,6,1
35624,2980,357848,2329,43222,334699,92566,3310,82020,81453,12597,113,556,111,551,7181,137403,15,33,25,1
106831,7256,635821,2814,29831,220193,62183,3088,119079,118987,8819,581,3552,626,3646,4527,124250,1,8,8,1
110800,4275,450059,673,21179,161947,44895,86,19298,19170,1098,105,3172,61,2671,3137,63320,12,3,4,1
37385,3341,358112,2483,50948,400147,109715,2522,58866,58467,9290,11,242,7,240,7434,131588,18,8,9,1
112788,7237,608482,2425,44044,327515,91621,3326,105736,106498,9888,373,965,376,971,4631,132111,0,44,29,1
101987,4226,412512,559,40862,295963,87765,62,15925,15798,625,663,2888,664,2996,3042,63899,11,2,0,1
37857,3200,356600,2328,141997,705340,347575,2560,81000,80767,10046,38,1769,42,1886,7744,148210,20,2,3,1
117241,7289,633541,2342,187202,1168221,700166,63,15843,16871,878,274,714,271,422,4099,113587,0,0,0,1
97089,4326,442251,782,130851,955593,736373,3520,90025,88543,13251,16,981,17,1063,3185,64082,16,309,204,1
3697,405,33527,75,153229,710709,376210,2952,107083,107764,7964,305,1358,306,1180,7033,128615,14,236,260,1
4516,441,58414,46,181215,1176485,662609,128,15164,15959,1103,15,145,15,152,3927,129725,3,15,4,1
3381,341,41549,43,133339,951183,770112,3493,80122,79349,11921,220,1539,223,1650,1227,7989,0,12,12,1
5449,826,52663,65,148296,711232,362154,2852,99539,100104,7586,591,2709,598,2555,3106,62350,10,0,0,1
9198,1188,102523,75,215602,1384602,888217,80,16162,16035,862,12,964,12,880,7309,139540,18,0,0,1
6183,855,42759,36,108494,805852,562988,3122,87754,87823,10996,195,2477,197,2292,4011,121191,4,0,0,1
37042,3064,355660,2348,25673,232570,57948,96,17066,16939,982,521,2253,521,2262,3134,63167,11,0,0,1
94648,6901,601469,2721,60874,492138,134316,400,28636,28636,1822,12,182,12,157,7054,134328,14,0,0,1
49976,3926,792635,4672,34738,378216,78177,2676,146296,151314,4205,555,2877,720,3452,2351,54039,26,219,234,1
74687,5391,1136075,7056,78940,780305,166159,2530,162141,157605,7940,3569,14640,3511,14118,6630,102300,16,251,210,1
2981,349,25323,49,53595,415353,112891,866,101307,101257,2833,1566,6300,1497,6254,5371,114702,0,172,160,1
5087,526,76865,68,131908,703699,335241,50,13744,13617,571,2187,9992,2218,10286,2882,58999,7,1,5,1
5303,530,60907,406,184226,1311548,480744,1607,68100,68170,7094,4325,22227,4449,21985,5405,78921,10,0,0,1
4538,1257,82245,556,156667,1065357,444423,1233,37345,37343,4103,182,1077,180,1160,5880,134131,14,374,265,1
44481,9716,653787,6008,74254,608691,235888,69,12897,12770,543,44,1387,53,1225,562,7381,0,393,313,1
4682,1283,80714,627,17444,125356,37476,2177,89748,90115,8620,2297,10116,2339,12685,673,9281,0,0,0,1
